Scheme,Agency,Description,Image,Link,Who's it for,What it gives,Scheme Type,search_booster,phone,email,address,How to apply
Various services,Boys' Town,"Home and shelter for at-risk youth, providing alternative schooling, educational programmes, fostering services and other clinical interventions. Boys’ Town helps children and youths who come from disadvantaged and disengaged families who may have faced hardship resulting from difficult home situations, financial struggles, abandonment, and abuse. Boys’ Town equips the children and youth in need with skills to become socially integrated, responsible and contributing members of society.",https://chidnast.sirv.com/SchemesSG/boystown.jpg,www.boystown.org.sg,Youth-at-risk,"Fostering,Educational programmes,Shelter,Counselling for at-risk-youth","Youth-at-Risk,Children","youth wayward, child mix with gang, residential home for boys, getting into fights, looking for a foster parent, youth outreach",,,,
Various services,Breakthrough Missions,"Our drug rehabilitation program is Christ-centred and residents will undertake an 18-month basic life-building course. It includes training to develop spiritual and work discipline and discipline in living. The aim is to achieve holistic recovery and growth. This is followed by another 18 months of further training and development. At the end of this period, residents have the choice of staying on to serve in Breakthrough Missions or return to society to work and witness for God.",https://chidnast.sirv.com/SchemesSG/breakthroughmissions.jpg,https://breakthroughmissions.org.sg/pgm-18m.html,Ex-offenders,"Counselling,emotional care,Employment assistance,Vocational training,Housing","Ex-offender,Work,Employment","halfway house, ex-convict need housing, ex-convict social program, ex-convict need job, ex-convict skills training course, learning programme",,,,
Medical Assistance,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),"Besides providing subsidies for medical expenses, the provision of medical supplies is also a major feature of our medical assistance programme. For long-term users who are struggling with their own limited financials, when the annual costs of their medical supplies constantly outstrip the limits of government grants and allowances, Tzu Chi will step in to fill the gap.

Volunteers sort medical supplies, such as adult diapers, waste bags, nutritional milk, etc. according to type, size, quantity, and home address, before personally delivering them to individual households during the monthly home visits.",https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,https://www.tzuchi.org.sg/en/our-missions/charity/medical-assistance/,"Medical assistance,healthcare,caregiving,low income family","Financial assistance for dialysis,Transport subsidy",Healthcare,"medical assistance, healthcare, low-income family, caregiving",,,,
Living Assistance,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),"Tzu Chi provides direct, timely and practical assistance to give the kind of help needed by each individual and household. Besides providing financial support to help cover some living expenses, Tzu Chi also provides essential daily items such as formula milk, diaper and food in an ongoing manner. Our volunteers also help to declutter and furnish the homes of some care recipients who are unable to clean up their homes by themselves and deliver meals to care recipients who have difficulty cooking or leaving their homes to buy food.",https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,https://www.tzuchi.org.sg/en/our-missions/charity/living-assistance/,"Low income,Low income families,Elderly,Children from low income families","Financial assistance for daily expenses,Financial assistance for education,Befriending",Healthcare,"Financial assistance, money for daily expenses, household needs, befriending",,,,
Education Assistance,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),"Determined not to let financial constraints get in the way of children’s school life, Tzu Chi provides education fee assistance to students from primary, secondary and tertiary education levels. Tzu Chi also launched the “Seeds of Hope Nurturing Programme” and “Seeds of Hope Meritorious Award Programme”, which aim at helping the children of its current care beneficiary households. Every year, between April to October, home visit team members will personally hand-deliver the grants to the beneficiary students during their monthly visits. At the same time, the volunteers will learn about the student’s progress in school, and give them care and support.",https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,https://www.tzuchi.org.sg/en/our-missions/charity/educational-assistance/,"Low income,Student,Children,Education",,"Education,Low Income,Student","Education, low income, student",,,,
Traditional Chinese Medicine Free Clinic,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),Provides free TCM services such as consultation and acupuncture treatment from Monday to Friday. The TCM clinical services are free for everyone regardless of religion and race.,https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,https://www.tzuchi.org.sg/en/our-missions/medicine/traditional-chinese-medicine-free-clinic/,"Low income,Healthcare,TCM,Elderly",,"Healthcare,Elderly","Healthcare, elderly, TCM",,,,
Free Dental Services (Clinic),Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),"Provides free General Medicine, Traditional Chinese medicine (TCM), and dental services mainly to seniors living alone, low-income households, Tzu Chi’s aid beneficiaries as well as migrant workers. The dental team regularly visits institutions such as homes for the mentally handicapped, nursing homes and other institutions to provide on-site dental services.",https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,https://www.tzuchi.org.sg/en/our-missions/medicine/tzu-chi-community-dental-centre/,"Dental services,Healthcare,Medical,Low Income,Elderly",Financial assistance for HIV patients,"Healthcare, Elderly",HIV and AIDS patients,,,,
Marriage support: Transnational and early marriage,Care Corner,"Through education and mentorship, we help couples gain a better understanding of each other and journey towards an enriching marriage and family life. Our programmes are for transnational and young (ages 18 to 24) couples. Our programmes prepare transnational and young couples for marriage, enhance marital relationships and improve communication, support positive child outcomes, support early marriage young couples on practical aspects of life, and facilitate integration of foreign spouses into the local family and community.",https://chidnast.sirv.com/SchemesSG/carecorner.jpg,https://www.carecorner.org.sg/marriage-support,"Transnational families,Foreign spouse,Families","Educational programme,Befriending,Emotional care","Foreign spouse, Education","no friends in singapore, new to singapore, new wife/husband, meet locals, integrate, adjust, bond, cross-cultural, make new friends, just married, prc, vietnam, myanmar, burmese, filipino, overseas, indian, young couple, adapt, cultural exchange, support group, socialize, social life, marry young, young couple, couple counselling, quarrel, argue, conflict, mentor",,,,
Caregiver Training Programme,Caregivers Alliance,"Provides training to caregivers of persons with mental health issues (PMHIs), dementia and eating disorders such as anorexia, bulimia nervosa and binge eating disorders including related mental health conditions of depression, anxiety and OCD.",https://chidnast.sirv.com/SchemesSG/CAL.jpg,https://www.cal.org.sg/c2c,Caregivers,Educational programmes for caregivers,"Caregiver,Mental Health,Eating Disorder,Healthcare,Dementia","Caregiver training. Dementia, eating disorder, anorexia, bulimia, depression, anxiety, OCD",,,,
Caregiver Support,Caregivers Alliance,"The Individual Training & Support (ITS) programme provides emotional support, coaching, and referrals for the convenience of those who cannot leave their loved ones for long periods. Sessions may be through face-to-face meetings at a location convenient to caregivers, or through other means such as phone calls, messaging, or email.

The Engagement to Empowerment (E2E) Team facilitates the formation of community-based peer-support caregiver networks in six constituencies: Bukit Gombak, Fengshan, Henderson/ Dawson, Nee Soon East and Tampines. The team helps caregivers to connect with one another, share experiences, enhance their caregiving skills and learn self-care, in a support group that meets once a month over the course of a year.",https://chidnast.sirv.com/SchemesSG/CAL.jpg,https://www.cal.org.sg/caregiver-support,Caregivers,Emotional care,"Caregiver,Mental Health",Caregivers feeling overwhelmed. Burnout. Elderly parent. Stress. Cannot cope anymore. Sandwich generation,,,,
Women and Children's Shelters,Casa Raudha Ltd (CRL),"Provides safe accommodation for victims of domestic violence, and supports vulnerable families and individuals in combating domestic violence.",https://chidnast.sirv.com/SchemesSG/casaraudha.jpg,https://www.casaraudha.org/protection/,"Youth-at-risk,Women","housing,counselling,emotional care","Abuse,Women,Children,Youth-at-Risk","domestic abuse, abusive parents, need place to stay, violent father/mother, kick out of house, homeless teenager, homeless girl",,,,
