,Scheme,Description,Agency,Image,Link,Who It's For,What It Gives,Scheme Type
1792,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Emotional care,Children
1793,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Emotional care,Youth-at-Risk
1794,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Emotional care,Education
1795,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Befriending,Abuse
1796,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Befriending,Women
1797,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Befriending,Children
1798,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Befriending,Youth-at-Risk
1799,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Befriending,Education
1800,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Homeless,Housing,Abuse
1801,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Homeless,Housing,Women
1802,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Homeless,Housing,Children
1803,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Homeless,Housing,Youth-at-Risk
1804,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Homeless,Housing,Education
1805,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Homeless,Educational programmes,Abuse
1806,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Homeless,Educational programmes,Women
1807,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Homeless,Educational programmes,Children
